QID,Term,Morph,npmi,subword_mean,bert_static,sbert,fasttext,query_ctx,cls_masked
1,ascii,asciiness,0.2948823955422496,0.3801907896995544,0.8131577968597412,0.6706599593162537,0.2190960049629211,0.4878398776054382,0.78911954164505
1,ascii,asciie,0.3922229028156632,0.7401161193847656,0.8886882066726685,0.8414992690086365,0.1470661014318466,0.9038649797439576,0.9131327867507936
1,ascii,asciis,0.4638503093957961,0.5428154468536377,0.9076701998710632,0.9210250973701476,0.1968461126089096,0.8072838187217712,0.846461832523346
1,ascii,ascii's,0.4404116086735556,0.8332012891769409,0.9187942743301392,0.9288659691810608,0.2006875872611999,0.9188715815544128,0.9099839329719543
1,ascii,asciied,0.317698077279163,0.6052970886230469,0.8143311142921448,0.7449988722801208,0.1341218054294586,0.7812659740447998,0.8373074531555176
1,code,codes,0.3122366346525521,0.8555330038070679,0.7287671566009521,0.7813096046447754,0.758528470993042,0.8821436762809753,0.9818851351737976
1,code,coded,0.1946378196714872,0.7982946634292603,0.5440410375595093,0.8325011730194092,0.5128787755966187,0.7942836284637451,0.9797781705856324
1,code,codee,0.1500110862980856,0.6334120035171509,0.7948188185691833,0.6770769357681274,0.5453890562057495,0.7952589392662048,0.9523627758026124
1,code,codeness,0.0932710811236317,0.7046455144882202,0.7702248692512512,0.6531649827957153,0.1064409464597702,0.8251895904541016,0.9038450717926024
1,code,codingly,0.1273250283902829,0.7309547662734985,0.4601342678070068,0.6990171670913696,0.1422194242477417,0.6320936679840088,0.9572402238845824
1,code,coding's,0.0609391422808019,0.6185344457626343,0.4248331785202026,0.6514827013015747,0.2046835720539093,0.6653472185134888,0.962761163711548
1,code,code's,0.2089817456849496,0.6386295557022095,0.6998562812805176,0.764614462852478,0.1443271934986114,0.7570196986198425,0.9684308767318726
1,code,codeli,0.137643341530903,0.7293252944946289,0.7924730777740479,0.519004225730896,0.2356960922479629,0.7861424088478088,0.9581227898597716
1,code,codeds,0.1681909671174548,0.7016932964324951,0.5090810060501099,0.7309768199920654,0.2853832542896271,0.7789320945739746,0.8311775922775269
1,code,codees,0.1781066269339285,0.6345945596694946,0.7846629619598389,0.7837355732917786,0.2045962512493133,0.7855228781700134,0.9237045049667358
1,code,codeed,0.1537768532791877,0.7754624485969543,0.7934484481811523,0.7800648808479309,0.222923919558525,0.832669198513031,0.946608066558838
1,code,coding,0.2443397652555624,0.8326218128204346,0.4936444163322449,0.8024152517318726,0.5625165104866028,0.8417015671730042,0.9792054295539856
1,code,codeful,0.1409906997017305,0.7373565435409546,0.747646152973175,0.6515699625015259,-0.0058470419608056,0.7664913535118103,0.9382063150405884
1,code,codedly,0.0733149512240108,0.7487590909004211,0.4987464249134063,0.6799062490463257,0.1782246679067611,0.7926416993141174,0.8971066474914551
1,code,codeeds,0.1409906997017305,0.6465376615524292,0.6823806762695312,0.7111293077468872,0.1700919419527053,0.7637221217155457,0.8591333031654358
1,code,coded's,0.0417110398306403,0.6407331228256226,0.4578078985214233,0.6646226644515991,0.1988089680671692,0.6717568039894104,0.9569956660270692
1,code,codee's,0.0227776142151147,0.5126004219055176,0.6133425235748291,0.5925518870353699,0.1583674103021621,0.7099370360374451,0.9477983117103576
1,code,codes's,0.0901712919110431,0.6401603817939758,0.5671811699867249,0.6710678935050964,0.1944171041250229,0.7003721594810486,0.96652352809906
1,code,codelis,0.0932710811236317,0.7998533248901367,0.7349209785461426,0.5696282386779785,0.216579720377922,0.7716253399848938,0.9738847613334656
