QID,Term,Morph,npmi,cls_orig,subword_mean,bert_static,sbert,fasttext,query_ctx,cls_masked
1,obama,obamas,0.457162763747596,0.8451137542724609,0.6529555320739746,0.8141204714775085,0.8155263662338257,0.8480093479156494,0.7716401815414429,0.8027376532554626
1,obama,obamae,0.260145463091569,0.8407890200614929,0.5854276418685913,0.7935227155685425,0.8335164785385132,0.3318037986755371,0.6192119121551514,0.7953662276268005
1,obama,obamaism,0.295681202010758,0.8207502961158752,0.6677311658859253,0.8341853618621826,0.7145153284072876,0.3349665999412536,0.8017641305923462,0.7788090705871582
1,obama,obamaize,0.177283445202887,0.964537501335144,0.7837589383125305,0.8169525861740112,0.7429884076118469,0.3153533935546875,0.7389193177223206,0.947934091091156
1,obama,obamaing,0.232508177060308,0.916764497756958,0.7280870079994202,0.8191344738006592,0.7380964756011963,0.3965034484863281,0.770469069480896,0.8806466460227966
1,obama,obamaers,0.232508177060308,0.9184185266494752,0.7045234441757202,0.8328012228012085,0.7501146793365479,0.2608673870563507,0.7759515047073364,0.8782406449317932
1,obama,obamas's,0.258526253339577,0.8519307971000671,0.5466060638427734,0.5863338708877563,0.675091028213501,0.3771312832832336,0.6826079487800598,0.8926392793655396
1,obama,obamaisms,0.288706233108678,0.968424916267395,0.78829026222229,0.8148400783538818,0.6583961248397827,0.2556923627853393,0.8179520964622498,0.9509396553039551
1,obama,obamaized,0.242168859259439,0.969794988632202,0.8126420974731445,0.8376350402832031,0.7157107591629028,0.3308895230293274,0.7003262042999268,0.9544937610626221
1,obama,obamaitis,0.22294873578125,0.9585633277893066,0.7966447472572327,0.8012694120407104,0.5917453765869141,0.3247483372688293,0.5998492240905762,0.9309377074241638
1,obama,obamaness,0.253119964181864,0.8733611702919006,0.7512338161468506,0.8131935000419617,0.7629802823066711,0.3384685814380646,0.8010279536247253,0.8277871012687683
1,obama,obamaization,0.260577925556854,0.9723734855651855,0.803169310092926,0.8486390113830566,0.6809436678886414,0.321297287940979,0.7220304608345032,0.9538508653640747
1,obama,obamaments,0.219005231053215,0.9664101600646972,0.7543139457702637,0.802202582359314,0.5882225036621094,0.2617464959621429,0.716903567314148,0.9516732096672058
1,obama,obamaic,0.226975271936484,0.9087616205215454,0.6540776491165161,0.8189369440078735,0.7685264348983765,0.3509252369403839,0.6763003468513489,0.8752117156982422
1,obama,obamaes,0.226975271936484,0.8826096653938293,0.6009976863861084,0.8198665976524353,0.8510438799858093,0.3736390173435211,0.6802196502685547,0.8433179259300232
1,obama,obamaer,0.226975271936484,0.9475976824760436,0.673416018486023,0.8017382621765137,0.8090118169784546,0.2840576469898224,0.7416590452194214,0.9215723276138306
1,obama,obamaed,0.244987808913802,0.9224848747253418,0.6959405541419983,0.8264381885528564,0.692940890789032,0.3867918252944946,0.7664037346839905,0.8864542245864868
1,obama,obama's,0.637739281467937,0.9145292043685912,0.6703652739524841,0.6985769271850586,0.7513891458511353,0.3909389972686767,0.6895337104797363,0.9177728891372681
1,family,famili,0.0685928185776368,0.9591459035873412,0.445316880941391,0.3474259376525879,0.5597159266471863,0.4337999224662781,0.5621294975280762,0.9601534605026245
1,family,familialization,0.115433722666269,0.7379662394523621,0.3861706852912903,0.2873676419258117,0.4497694373130798,0.0902127996087074,0.6057425141334534,0.8034458160400391
1,family,familiality,0.110650965727818,0.6574664115905762,0.3933842182159424,0.2887323200702667,0.5509262681007385,0.1083176806569099,0.6516764163970947,0.6684001088142395
1,family,familialism,0.116011067383909,0.771071195602417,0.4297451972961426,0.3238379657268524,0.5063020586967468,0.1130150035023689,0.6566082239151001,0.8273128867149353
1,family,familialize,0.0463250926419257,0.8102124333381653,0.4465780258178711,0.3554311394691467,0.5182040929794312,0.1044793576002121,0.6227190494537354,0.9479581117630005
1,family,familiement,-0.0405489975538365,0.74846351146698,0.4598460793495178,0.2886908054351806,0.5376499891281128,0.1369309872388839,0.5849294662475586,0.7867355942726135
1,family,familializing,0.0720062280016938,0.6945983171463013,0.3444877564907074,0.3436649441719055,0.5309087038040161,0.0915729030966758,0.6358893513679504,0.7679019570350647
1,family,familially,0.0949298072192963,0.6784735918045044,0.387955367565155,0.2964559495449066,0.5071672201156616,0.1343964189291,0.6736118197441101,0.6920583248138428
1,family,familiants,0.103813778618675,0.8502435088157654,0.453251302242279,0.3586106896400451,0.5888718962669373,0.1550006568431854,0.5667499899864197,0.8809784054756165
1,family,familieals,0.0691914795864188,0.8188044428825378,0.4847748875617981,0.305245578289032,0.587418794631958,0.1347051709890365,0.5194171667098999,0.8440641164779663
