QID,Term,Morph,npmi,subword_mean,bert_static,sbert,fasttext,query_ctx,cls_masked
1,ascii,asciis,0.4638503093957961,0.5428154468536377,0.9076701998710632,0.9210250973701476,0.1968461126089096,0.8072838187217712,0.846461832523346
1,ascii,asciily,0.3868813222269951,0.4597510695457458,0.8001049757003784,0.7473674416542053,0.1939481645822525,0.5812240242958069,0.8635538816452026
1,code,coditions,0.0465003834216604,0.4111686944961548,0.3773483633995056,0.4027622044086456,0.1279594898223877,0.5991575121879578,0.8179077506065369
1,code,codic,0.079791932990341,0.4680487811565399,0.356732428073883,0.4198432564735412,0.0306403152644634,0.5919886231422424,0.893376350402832
1,code,codes,0.3122366346525521,0.8555330038070679,0.7287671566009521,0.7813096046447754,0.758528470993042,0.8821435570716858,0.9818851351737976
1,code,coder,0.15138325448702,0.6631283760070801,0.8008749485015869,0.6849452257156372,0.4319536685943603,0.7772199511528015,0.9479526281356812
1,code,coded,0.1946378196714872,0.7982946634292603,0.5440410375595093,0.8325011730194092,0.5128787755966187,0.7942836880683899,0.9797781705856324
1,code,codeable,0.1542156735874068,0.6837118864059448,0.7632757425308228,0.6711744666099548,0.2677218616008758,0.8036255836486816,0.9465349912643432
1,code,codeness,0.0932710811236317,0.7046455144882202,0.7702248692512512,0.6531649827957153,0.1064409464597702,0.8251895308494568,0.9038450717926024
1,code,codement,0.1237360443585481,0.7330236434936523,0.738613486289978,0.6615298986434937,0.2389480620622635,0.8177697062492371,0.9713902473449708
1,code,codicism,0.0932710811236317,0.4142288565635681,0.3584781587123871,0.2611622810363769,0.1073934584856033,0.5247973203659058,0.8981320858001709
1,code,codicity,0.0932710811236317,0.3824027478694916,0.3768295645713806,0.3133722841739654,0.062816321849823,0.5574309229850769,0.8367233276367188
1,code,codition,0.0439722145618045,0.5183901190757751,0.3660238981246948,0.4260144233703613,0.1350052654743194,0.5702622532844543,0.9329742789268494
1,code,coders,0.2341972970566986,0.6776056289672852,0.7832369804382324,0.6314383745193481,0.4217850267887115,0.7980771660804749,0.9022146463394164
1,code,codeds,0.1681909671174548,0.7016932964324951,0.5090810060501099,0.7309768199920654,0.2853832542896271,0.7789319753646851,0.8311775922775269
1,code,codees,0.1781066269339285,0.6345945596694946,0.7846629619598389,0.7837355732917786,0.2045962512493133,0.7855229377746582,0.9237045049667358
1,code,codeed,0.1537768532791877,0.7754624485969543,0.7934484481811523,0.7800648808479309,0.222923919558525,0.8326691389083862,0.946608066558838
1,code,codeic,0.0932710811236317,0.7769858837127686,0.7803388237953186,0.5875176191329956,0.2498125582933426,0.8559964895248413,0.8811890482902527
1,code,codeal,0.0781834476291866,0.7236939668655396,0.7855937480926514,0.6478344798088074,0.2684048116207123,0.8049789667129517,0.9705857038497924
