QID,Term,Morph,npmi,cls_orig,subword_mean,bert_static,sbert,fasttext,query_ctx,cls_masked
1,obama,obamas,0.457162763747596,0.8451137542724609,0.6529555320739746,0.8141204714775085,0.8155263662338257,0.8480093479156494,0.7716402411460876,0.8027376532554626
1,obama,obamaism,0.295681202010758,0.8207502961158752,0.6677311658859253,0.8341853618621826,0.7145153284072876,0.3349665999412536,0.8017640709877014,0.7788090705871582
1,obama,obamaisms,0.288706233108678,0.968424916267395,0.78829026222229,0.8148400783538818,0.6583961248397827,0.2556923627853393,0.8179520964622498,0.9509396553039551
1,obama,obamalies,0.236600305825883,0.9684600830078124,0.7525212168693542,0.7864192724227905,0.7181906700134277,0.2687721848487854,0.4071880280971527,0.9475049376487732
1,obama,obamalied,0.232508177060308,0.9383631348609924,0.5940649509429932,0.6943439245223999,0.7908603549003601,0.2532876431941986,0.6479253172874451,0.9052156209945679
1,obama,obamaness,0.253119964181864,0.8733611702919006,0.7512338161468506,0.8131935000419617,0.7629802823066711,0.3384685814380646,0.801027774810791,0.8277871012687683
1,obama,obamaly,0.226975271936484,0.8894320726394653,0.693953275680542,0.8042768239974976,0.7926455140113831,0.3403441905975342,0.7891854643821716,0.8562912940979004
1,family,familyiving,0.0888901875637335,0.9693557620048524,0.8274028301239014,0.5674469470977783,0.6543850898742676,0.2766080498695373,0.7797477841377258,0.976988673210144
1,family,famililies,0.0963084615758733,0.7872105836868286,0.2860854864120483,0.3254854679107666,0.587717592716217,0.1588878184556961,0.5688808560371399,0.8546035289764404
1,family,familiness,0.130727347133086,0.8200134038925171,0.3773887455463409,0.2792680859565735,0.5473551154136658,0.1607969552278518,0.5971537232398987,0.8448650240898132
1,family,familiers,0.0002360049851136,0.8009910583496094,0.4075594246387481,0.3746064603328705,0.5826404690742493,0.1516172885894775,0.6759202480316162,0.8366528153419495
1,family,familieds,0.112686792026334,0.7977376580238342,0.4791433215141296,0.3156958520412445,0.5880731344223022,0.1572847068309784,0.5858920216560364,0.829754650592804
1,family,familical,0.112686792026334,0.7592840194702148,0.3898093700408935,0.3344932496547699,0.5132459402084351,0.1778627783060073,0.6176466941833496,0.8117758631706238
1,family,familior,0.0493848144346533,0.8393148183822632,0.4721562266349792,0.3474346995353699,0.5066691040992737,0.1586404144763946,0.5633877515792847,0.8892337679862976
1,family,familied,0.075319313337319,0.8026919364929199,0.4092901349067688,0.3342971205711365,0.4881582856178283,0.2042721062898636,0.613034725189209,0.8489419221878052
1,family,familily,0.104642674597621,0.8509416580200195,0.4604035019874573,0.3573091030120849,0.5601820945739746,0.2730237245559692,0.5524837970733643,0.9168686866760254
1,family,families,0.356914659876327,0.9878051280975342,0.8715795278549194,0.5729379653930664,0.9160033464431764,0.6833673119544983,0.6552339196205139,0.9878050088882446
1,family,familier,0.0481894360658065,0.8979833722114563,0.4445303678512573,0.3251842260360718,0.5268459320068359,0.1392995864152908,0.609254777431488,0.9054306149482727
1,family,familyor,0.106437326410994,0.981349229812622,0.8435350656509399,0.7237476110458374,0.7171648740768433,0.3949612081050873,0.773906946182251,0.9838312268257141
1,family,familyal,0.0750596988879763,0.9634835720062256,0.7813326120376587,0.7466202974319458,0.7498505115509033,0.3065168857574463,0.8733524084091187,0.9673647284507751
1,family,familyed,0.102321878073605,0.963147521018982,0.8037837147712708,0.7407640218734741,0.7608258724212646,0.2983458042144775,0.7793973684310913,0.9744702577590942
1,family,familyes,0.0861701652441094,0.929970383644104,0.6327372789382935,0.7623303532600403,0.8874902129173279,0.2995688617229461,0.7180100083351135,0.936270534992218
1,family,familyer,0.0926596337260247,0.959366261959076,0.7493874430656433,0.7849186658859253,0.7366364002227783,0.3213353455066681,0.7993990778923035,0.9691178798675537
1,family,familyive,0.0691914795864188,0.9868907928466796,0.8303065299987793,0.6643175482749939,0.711467981338501,0.2723107933998108,0.7897481322288513,0.9882127046585083
1,family,familyism,0.119091129560194,0.7894388437271118,0.5726754665374756,0.711295485496521,0.7483962178230286,0.2670809328556061,0.797368049621582,0.8164873719215393
1,family,familying,0.102405659420818,0.9099398255348206,0.7161370515823364,0.7690449357032776,0.794213056564331,0.2702515721321106,0.8201579451560974,0.9275285005569458
1,family,familys,0.150359844628316,0.8313261866569519,0.7408916354179382,0.8228665590286255,0.9319608211517334,0.6575777530670166,0.7804588079452515,0.853166401386261
1,family,familic,0.0847227292662394,0.916237771511078,0.4988288283348083,0.3213948011398315,0.5642983913421631,0.1974182873964309,0.5424971580505371,0.9134454727172852
1,family,familyally,0.0691914795864188,0.9547724723815918,0.8566838502883911,0.6375230550765991,0.7812591791152954,0.1600740104913711,0.8018630146980286,0.9702112674713135
1,family,familyence,0.112686792026334,0.9646941423416138,0.8441892862319946,0.6365416049957275,0.7388190031051636,0.2504211366176605,0.7816891074180603,0.9782970547676086
1,family,familyness,0.123597181569435,0.8444334268569946,0.7341063022613525,0.7119506597518921,0.7860291600227356,0.2526180744171142,0.7482613325119019,0.8748276233673096
1,tree,treally,0.0753847740019563,0.926790416240692,0.5692190527915955,0.3323849439620971,0.3180409669876098,0.1139344200491905,0.5421974062919617,0.9403041005134583
1,tree,treance,0.102966825379031,0.9620298743247986,0.5299752950668335,0.313195526599884,0.3074508905410766,0.1100478172302246,0.5232619643211365,0.9653546810150146
1,tree,treable,0.177816313973352,0.9524220824241638,0.5197161436080933,0.3146309852600097,0.3692492246627807,0.0899685695767402,0.539807140827179,0.9605658054351807
1,tree,treeals,0.154641452886308,0.92864990234375,0.7805036902427673,0.7001959681510925,0.7947674989700317,0.3486624956130981,0.8313048481941223,0.9381282925605774
1,tree,treeing,0.131657457139929,0.901325523853302,0.7020642161369324,0.7857832908630371,0.8355407118797302,0.3391469717025757,0.805515468120575,0.9080172181129456
1,tree,treeism,0.154641452886308,0.8560519218444824,0.7124877572059631,0.7528764009475708,0.758167564868927,0.3519080877304077,0.7913576364517212,0.8666368722915649
1,tree,treeity,0.154641452886308,0.94418466091156,0.6738487482070923,0.7463159561157227,0.8146510124206543,0.3187969624996185,0.8118687868118286,0.95052570104599
1,tree,treible,0.0702529894814513,0.93201744556427,0.5978972911834717,0.3198733329772949,0.357211172580719,0.0767772272229194,0.5061872005462646,0.9400222301483154
1,tree,treings,0.154641452886308,0.9573715329170228,0.4896778166294098,0.3325396478176117,0.3128079175949096,0.0730571448802948,0.4128831923007965,0.9603880047798157
1,tree,treizer,0.154641452886308,0.937110185623169,0.6189430952072144,0.3760219216346741,0.330823540687561,0.1076693460345268,0.4795014560222626,0.9440311789512634
1,tree,treizes,0.0764607595382628,0.9532027244567872,0.5996643304824829,0.3088919222354889,0.3273075520992279,0.0192691683769226,0.4699971973896026,0.9517967700958252
1,tree,treeation,0.201612918435953,0.9040729999542236,0.5827457308769226,0.7400341033935547,0.8079441785812378,0.3449443876743316,0.8185325860977173,0.8984180688858032
1,tree,treeativity,0.164855352016799,0.8339762091636658,0.5497699975967407,0.5781815052032471,0.7279567718505859,0.2905105650424957,0.6719246506690979,0.8560927510261536
1,tree,treality,0.0833589694486756,0.9662494659423828,0.5755402445793152,0.3336393237113952,0.2683091461658478,0.0374634861946105,0.5295283794403076,0.9657852053642273
1,tree,treation,0.115551106212285,0.9560873508453368,0.5216593742370605,0.3175561726093292,0.203997865319252,0.0843178704380989,0.4748668372631073,0.9561319351196289
1,tree,treeable,0.155587765798467,0.9084861278533936,0.776840329170227,0.7325617671012878,0.7866958379745483,0.3499448895454407,0.818657636642456,0.9263685345649719
